id,State,Year,sexual_crimes,dowry_deaths,viloence_against_women,crime_involving_force
1,ANDHRA PRADESH,2001,871,420,11606,772
2,ARUNACHAL PRADESH,2001,33,0,92,55
3,ASSAM,2001,817,59,2102,1070
4,BIHAR,2001,888,859,2141,601
5,CHHATTISGARH,2001,959,70,2764,171
6,GOA,2001,12,2,35,6
7,GUJARAT,2001,286,67,4534,857
8,HARYANA,2001,398,285,2392,297
9,HIMACHAL PRADESH,2001,124,10,641,105
10,JAMMU & KASHMIR,2001,169,13,960,504
11,JHARKHAND,2001,567,217,786,281
12,KARNATAKA,2001,293,220,3501,271
13,KERALA,2001,562,27,4584,97
14,MADHYA PRADESH,2001,2851,609,10376,668
15,MAHARASHTRA,2001,1302,308,10033,612
16,MANIPUR,2001,20,0,26,62
17,MEGHALAYA,2001,26,0,29,11
18,MIZORAM,2001,52,0,68,4
19,NAGALAND,2001,17,0,6,6
20,ODISHA,2001,790,294,3379,434
21,PUNJAB,2001,298,159,1547,324
22,RAJASTHAN,2001,1049,376,8466,2166
23,SIKKIM,2001,8,0,14,2
24,TAMIL NADU,2001,423,191,3600,621
25,TRIPURA,2001,102,16,285,35
26,UTTAR PRADESH,2001,1958,2211,12810,2879
27,UTTARAKHAND,2001,74,56,488,126
28,WEST BENGAL,2001,709,265,4861,698
29,A & N ISLANDS,2001,3,0,29,2
30,CHANDIGARH,2001,18,3,75,50
31,D & N HAVELI,2001,6,0,11,2
32,DAMAN & DIU,2001,0,0,4,3
33,LAKSHADWEEP,2001,0,0,0,0
34,PUDUCHERRY,2001,9,1,65,3
35,ANDHRA PRADESH,2002,1002,449,12841,854
36,ARUNACHAL PRADESH,2002,38,0,83,38
37,ASSAM,2002,970,70,2685,1276
38,BIHAR,2002,1040,927,2204,782
39,CHHATTISGARH,2002,992,85,2283,154
40,GOA,2002,12,2,32,5
41,GUJARAT,2002,267,62,4175,807
42,HARYANA,2002,361,256,3443,290
43,HIMACHAL PRADESH,2002,137,6,572,116
44,JAMMU & KASHMIR,2002,192,18,1207,596
45,JHARKHAND,2002,797,275,1002,214
46,KARNATAKA,2002,292,233,3574,300
47,KERALA,2002,499,17,5061,91
48,MADHYA PRADESH,2002,2891,674,11018,639
49,MAHARASHTRA,2002,1352,303,8808,650
50,MANIPUR,2002,14,0,68,82
51,MEGHALAYA,2002,38,0,23,10
52,MIZORAM,2002,76,0,76,2
53,NAGALAND,2002,17,0,1,4
54,ODISHA,2002,691,248,2960,432
55,PUNJAB,2002,299,166,1430,354
56,RAJASTHAN,2002,1051,399,8465,2019
57,SIKKIM,2002,6,0,20,2
58,TAMIL NADU,2002,534,243,4647,714
59,TRIPURA,2002,108,16,364,48
60,UTTAR PRADESH,2002,1415,1893,9711,2298
61,UTTARAKHAND,2002,89,66,558,156
62,WEST BENGAL,2002,759,273,5067,695
63,A & N ISLANDS,2002,2,0,24,1
64,CHANDIGARH,2002,18,1,120,47
65,D & N HAVELI,2002,4,0,6,5
66,DAMAN & DIU,2002,0,0,3,2
